date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:54	1365/1365	---M--	200	added ('OK')	image/png	etag:%22ecc709d1c1e9867621cca3e4f53207ab%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/btn_close.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/btn_close.png	(from https://ragnarok-origin.com/)
16:26:54	38727/38727	---M--	200	added ('OK')	text/css	etag:%2206256cb94f2ddeb4e3f071b50cd4eff9%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/css/comodo.css	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/css/comodo.css	(from https://ragnarok-origin.com/)
16:26:55	19815/19815	---M--	200	added ('OK')	text/css	etag:%22f6e1c070d342bfca2dd242f2476f47ab%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/css/swiper.min.css	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/css/swiper.min.css	(from https://ragnarok-origin.com/)
16:26:55	1093/1093	---M--	200	added ('OK')	image/gif	etag:%226bded8eccbc3891bce0adf1852787ffa%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/img_blank.gif	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/img_blank.gif	(from https://ragnarok-origin.com/)
16:26:55	452438/452438	---M--	200	added ('OK')	image/png	etag:%22767c27f7c9ea8b58f8833db34647bb05%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/storeButton0.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/storeButton0.png	(from https://ragnarok-origin.com/)
16:26:56	452343/452343	---M--	200	added ('OK')	image/png	etag:%220f7c3a29081ad373c980fc7396c5a13e%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/storeButton1.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/storeButton1.png	(from https://ragnarok-origin.com/)
16:26:56	1552/1552	---M--	200	added ('OK')	image/png	etag:%2245ef41cccb68aae8c1e3cac4321be0f8%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/img_scroll.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/img_scroll.png	(from https://ragnarok-origin.com/)
16:26:56	1378/1378	---M--	200	added ('OK')	image/png	etag:%22e9b14656583c4ee4b76c59829da00f99%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/txt_scroll.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/txt_scroll.png	(from https://ragnarok-origin.com/)
16:26:56	100513/100513	---M--	200	added ('OK')	image/png	etag:%22fe68201ff46c7b8d62effec0285b4043%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/img_mainTxtWhite_220209.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/img_mainTxtWhite_220209.png	(from https://ragnarok-origin.com/)
16:26:57	1662/1662	---M--	200	added ('OK')	application/javascript	etag:%2254067c7a6f7d1add98584aedf679a5c3%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/js/rainScript.js	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/js/rainScript.js	(from https://ragnarok-origin.com/)
16:26:57	10068/10068	---M--	200	added ('OK')	image/png	etag:%221601f9a83b9c5f74bc62850ed721b404%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/ver5/leaves1.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/ver5/leaves1.png	(from https://ragnarok-origin.com/)
16:26:57	1512/1512	---M--	200	added ('OK')	image/png	etag:%22de1040070d28d1d581d751065f12d8e8%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/ver5/leaves2.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/ver5/leaves2.png	(from https://ragnarok-origin.com/)
16:26:58	6547/6547	---M--	200	added ('OK')	image/png	etag:%22f2d6fc5858503da91e6aa0570739a43a%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/ver5/leaves3.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/ver5/leaves3.png	(from https://ragnarok-origin.com/)
16:26:58	9417/9417	---M--	200	added ('OK')	image/png	etag:%22be423b56b18a3f695cd2a422904e6518%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/ver5/leaves4.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/ver5/leaves4.png	(from https://ragnarok-origin.com/)
16:26:59	1918/1918	---M--	200	added ('OK')	image/png	etag:%227101d1cbdc8c8d881f104b9ee0b66220%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/ver5/leaves5.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/ver5/leaves5.png	(from https://ragnarok-origin.com/)
16:26:59	66058/66058	---M--	200	added ('OK')	image/png	etag:%228ba99f10ae9bf9ff7834cbf6bd894818%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/img_evening_play.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/img_evening_play.png	(from https://ragnarok-origin.com/)
16:26:59	1322/1322	---M--	200	added ('OK')	image/png	etag:%2217654e1b4360f08f72258df4a3c0b946%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/gameIntro/img_fireworksBack.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/gameIntro/img_fireworksBack.png	(from https://ragnarok-origin.com/)
16:27:00	422449/422449	---M--	200	added ('OK')	image/jpeg	etag:%2266724fae442d6b4c931f11db52c13a8e%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/crusader/ingles-ipad-2_220627.jpg	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/crusader/ingles-ipad-2_220627.jpg	(from https://ragnarok-origin.com/)
16:27:00	554976/554976	---M--	200	added ('OK')	image/jpeg	etag:%226a3f33da0964d002511c2963b2b3e12d%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/crusader/ingles-ipad-1_220627.jpg	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/crusader/ingles-ipad-1_220627.jpg	(from https://ragnarok-origin.com/)
16:27:00	593609/593609	---M--	200	added ('OK')	image/jpeg	etag:%22341e4a9d3eabce1126b97ee86a66be53%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/crusader/ingles-ipad-3_220627.jpg	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/crusader/ingles-ipad-3_220627.jpg	(from https://ragnarok-origin.com/)
16:27:00	476596/476596	---M--	200	added ('OK')	image/jpeg	etag:%22b346f86bb51bd82115f6786508ecb838%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/crusader/ingles-ipad-4_220627.jpg	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/crusader/ingles-ipad-4_220627.jpg	(from https://ragnarok-origin.com/)
16:27:01	507312/507312	---M--	200	added ('OK')	image/jpeg	etag:%22bbb59dc497cf7fec6dfe1316ed61dd32%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/crusader/ingles-ipad-5_220627.jpg	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/crusader/ingles-ipad-5_220627.jpg	(from https://ragnarok-origin.com/)
16:27:01	374098/374098	---M--	200	added ('OK')	image/jpeg	etag:%229a3be58fea9bef7779fedbb36e704137%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/crusader/ingles-ipad-6_220627.jpg	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/crusader/ingles-ipad-6_220627.jpg	(from https://ragnarok-origin.com/)
16:27:01	496774/496774	---M--	200	added ('OK')	image/jpeg	etag:%22c9b2c5d7dec7517354373eb03c6615ac%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/crusader/ingles-ipad-7_220627.jpg	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/crusader/ingles-ipad-7_220627.jpg	(from https://ragnarok-origin.com/)
16:27:01	3207/3207	---M--	200	added ('OK')	image/png	etag:%22b6b232a21d9594b5331619e17d93eb43%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/btn_top.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/btn_top.png	(from https://ragnarok-origin.com/)
16:27:01	2449/2449	---M--	200	added ('OK')	image/png	etag:%226acdf001c3c993fd9276695352166d1e%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/footerLogo.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/footerLogo.png	(from https://ragnarok-origin.com/)
16:27:02	9318/9318	---M--	200	added ('OK')	application/javascript	etag:%221d779f037073f9488fa8a76cc75b6716%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/js/fireworks.js	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/js/fireworks.js	(from https://ragnarok-origin.com/)
16:27:02	633/633	---M--	200	added ('OK')	application/javascript	etag:%22218756dce2430698f3c3e00bc7750094%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/js/twinkleStars.js	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/js/twinkleStars.js	(from https://ragnarok-origin.com/)
16:27:03	5360/5360	---M--	200	added ('OK')	application/javascript	etag:%221d86e86be9c1e70%22	https://ragnarok-origin.com/js/loding.js?v=220523	F:/ragnarok-origin.com/ragnarok-origin.com/ragnarok-origin.com/js/lodingdf6a.js	(from https://ragnarok-origin.com/)
16:27:04	854/854	---M--	200	added ('OK')	application/javascript	etag:%22d277643527b98482ee06d6b49062668d%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/js/scrollspy.js	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/js/scrollspy.js	(from https://ragnarok-origin.com/)
16:27:04	1189762/1189762	---M--	200	added ('OK')	application/javascript	etag:%22e8dc647b7c8cbe9ca5f6ed0fa643ac07%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/js/p5.min.js	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/js/p5.min.js	(from https://ragnarok-origin.com/)
16:27:04	304596/304596	---M--	200	added ('OK')	application/javascript	etag:%2270560f24518d012b1b9e30fdbef11a86%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/js/swiper.js	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/js/swiper.js	(from https://ragnarok-origin.com/)
16:27:05	1195/1195	---MC-	200	added ('OK')	text/css	date:Thu,%2018%20Aug%202022%2009:27:07%20GMT	https://fonts.googleapis.com/earlyaccess/notosanskr.css	F:/ragnarok-origin.com/ragnarok-origin.com/fonts.googleapis.com/earlyaccess/notosanskr.css	(from https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/css/common.css?v=220628)
